Country,Rank,C1: Security Apparatus,C2: Factionalized Elites,C3: Group Grievance,E1: Economy,E2: Economic Inequality,E3: Human Flight and Brain Drain,P1: State Legitimacy,P2: Public Services,P3: Human Rights,S1: Demographic Pressures,S2: Refugees and IDPs,X1: External Intervention,Prison Population,Homeless People due to Natural Disaster,Life expectancy at birth (years),EPI,Infant mortality rate,Education Index,Total
Germany,165th,2.1,2,4.6,2.9,3.3,2.1,1.2,1.6,1.5,2.5,3,1.3,4.5,4.5,6.02,5.688,4.86,3.58,Sustainable
Slovenia,162nd,2.1,1.6,3.9,4.2,3.9,2.8,2.6,2,2,2.8,1.4,2.3,7.02,7.02,7.29,7.113,1.3,7.02,Sustainable
New Zealand,172nd,1.1,1.1,4.1,3.9,2.8,2.1,0.5,1.9,1,1.9,1.1,1.1,4.14,4.14,7.4,6.2005,2.46,3.66,Sustainable
Netherlands,166th,1.8,2.6,3.9,3.4,2.7,2.6,1,1.5,1,3,2.1,1.2,6.45,6.45,7.62,6.677,0.46,5.03,Sustainable
Canada,168th,2.2,2.5,3.9,1.8,3,2.2,0.9,2,1.8,2.4,2,1,5.58,5.58,6.84,2.9955,2.63,4.59,Sustainable
Finland,178th,1.4,1.1,1.6,3.8,1,2.3,0.5,1.2,0.9,1.5,1.5,1,4.41,4.41,6.41,4.4555,4.29,3.15,Sustainable
Norway,176th,2.5,1.1,3.7,1.7,2,1.6,0.4,1.4,1.3,2,1.9,1.2,9.13,9.13,8.16,6.7175,3.05,9.17,Sustainable
Ireland,169th,1.8,1.3,1.9,4.1,2.7,2.8,1.5,1.9,1.2,2.2,1.4,1.9,6.86,6.86,6.89,5.7655,1.39,6.22,Sustainable
Iceland,171st,1,1.8,1.3,3.6,1.6,2.8,0.9,1.7,1.1,1.6,1.4,4.6,6.23,6.23,7.31,3.804,1.8,5.18,Sustainable
Sweden,177th,2.1,1.8,1.3,2.3,1.8,1.5,1,1.6,1,2.5,2.3,1,6.65,6.65,6.79,6.3795,0.61,7.05,Sustainable
Switzerland,173rd,1.4,1,3.6,2,2.7,2.1,1,1.4,1.8,1.9,2.1,1.3,4.21,4.21,5.54,6.72,0.22,2.97,Sustainable
Luxembourg,174th,2,3.4,3.1,1.5,1.5,2.1,1.3,1.3,1,1.7,1.7,1.6,7.63,7.63,7.42,4.8025,0.73,6.56,Sustainable
